first_type,second_type,third_type,name,buy
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Крах и восход,3621
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Штурм и буря,3540
Научно-популярная литература,Психология,Популярная психология,Салимова Тати: Дыши. Чувствуй. Пиши. Книга-практикум с мантрами на любовь к себе,454
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Тень и кость,4154
Художественная литература,Фэнтези,Зарубежное фэнтези,Маас Сара Дж.: Королевство гнева и тумана,461
Художественная литература,Фэнтези,Зарубежное фэнтези,Кристофф Джей: Неночь,2037
Художественная литература,Фэнтези,Городское фэнтези,Гор Анастасия: Ковен озера Шамплейн,1372
Художественная литература,Проза,Классическая зарубежная литература,Уайльд Оскар: Портрет Дориана Грея,3089
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Продажное королевство,3763
Художественная литература,Фэнтези,Зарубежное фэнтези,Ли Бардуго: Шестерка воронов,4261
Художественная литература,Эпос и фольклор,Афоризмы,Твен Марк: Никогда не спорьте с идиотами!,3209
Научно-популярная литература,Психология,Классическая психология,Фромм Эрих: Искусство любить,4900
Художественная литература,Фэнтези,Зарубежное фэнтези,Маас Сара Дж.: Королевство шипов и роз. Книга 1,421
Художественная литература,Проза,Современная русская проза,Бессонов Александр: Мадам,207
Бизнес-литература,Просто о бизнесе,Бизнес-справочники,Реклама в коммуникационном процессе. Учебное пособие. Стандарт третьего поколения,10
Бизнес-литература,Просто о бизнесе,Бизнес-справочники,Винстон Уэйн: Бизнес-моделирование и анализ данных. Решение актуальных задач с помощью Microsoft Excel. 6-е издание,45
Бизнес-литература,Просто о бизнесе,Электронная коммерция,Акта Акта: Дневник покорения Instagram от Acta Acta,449
Бизнес-литература,Просто о бизнесе,Электронная коммерция,"Хильт Алиона Игоревна: Как раскрутить блог в Instagram: лайфхаки, тренды, жизнь",75
Бизнес-литература,Просто о бизнесе,Стартапы и создание бизнеса,Бесконечный стартап,20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Романс Э.: Настольная книга венчурного предпринимателя: Секреты лидеров стартапов,21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Джордж Майкл: Бережливое производство плюс шесть сигм в сфере услуг,8
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Будро Джон, Джесутасан Равин: Реинжиниринг бизнеса: Как грамотно внедрить автоматизацию и искусственный интеллект",24
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Пинкун Дамронг: Адская стратегия,19
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Обрети Силу для получения Больших Денег! Секреты сверхбогатых людей планеты,75
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Обрети Силу для получения Больших Денег! Секреты сверхбогатых людей планеты,50
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Антиуправление бизнесом, или Как не разрушить бизнес, улучшая его качество",21
Бизнес-литература,Просто о бизнесе,Российский бизнес,Развитие живой компании,20
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Антиуправление бизнесом, или Как не разрушить бизнес, улучшая его качество",20
Бизнес-литература,Просто о бизнесе,Предпринимательство,Кларк Дункан: Alibaba. История мирового восхождения,298
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Кови Стивен: Семь навыков высокоэффективных людей (Серия 15 MustRead),15
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Вайсc Антонио : 101 идея для роста вашего бизнеса: Результаты новейших исследований эффективности людей и организаций,13
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Толкачев А.: Эффект звонка: как договориться по телефону?,23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Действуй эффективно! Лучшая практика менеджмента,29
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Методы спецназа для руководителей: Практическое руководство по формированию эффективных команд на основе управленческой системы воинских подразделений,13
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Замышляев Олег: Матрица перемен: Как повысить эффективность изменений в компании,24
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Трансформация бизнеса. Построение эффективной компании,23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Кови Стивен, Боб Уитман, Брек Ингланд: Правила эффективного лидерства",26
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Друкер Питер: Эффективный руководитель,21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Ричард Пейзер, Дэвид Гамильтон: Профессиональный девелопмент недвижимости. Руководство ULI по ведению бизнеса",11
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Келси Д.: Блестящие совещания,8
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Верн Харниш: Развитие бизнеса. Инструменты прибыльного роста,35
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Иэн Уоллис: Бизнес-идеи, которые изменили мир (в суперобложке)",29
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Мрочковский Николай Сергеевич, Парабеллум Н.: Бизнес. Перезагрузка",29
Бизнес-литература,Просто о бизнесе,Стартапы и создание бизнеса,Яковлев Михаил Геннадьевич: Народный бизнес. Как быстро открыть свое дело и сразу начать зарабатывать,65
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Екатерина Иноземцева: Стартап без купюр, или 50 и 1 урок, как сделать бизнес в Москве для клиентов со всего мира",21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Змановский Александр: Бизнес-Куб. Как прокачать объемное мышление и вывести компанию на новый уровень,20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Солис Брайан: Макротренды в бизнесе. Как стать компанией новой волны, создавая эмоции, привлекающие клиентов",30
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Бизнес в позе лотоса. Как совместить работу и духовный поиск,24
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Ливайн Майкл: Разбитые окна, разбитый бизнес: Как мельчайшие детали влияют на большие достижения + 2-е издание",20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Дюмейн Брайан: Безономика: Как Amazon меняет мировой бизнес. Правила игры Джеффа Безоса,21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Джек Стэк, Бо Берлингем: Большая игра в бизнес",23
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Живая организация. Трансформация бизнеса на пути к выдающимся результатам.,20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Азаренок Мария Александровна, Азизова Екатерина Сергеевна: Активируй свой персональный бренд! 100 кейсов для повышения эффективности бизнеса",50
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Департамент здравого смысла. Как избавиться от бюрократии, бессмысленных презентаций и прочего корпоративного бреда",24
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Восьмой навык: От эффективности к величию (Переплет, суперобложка)",17
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Молчанов Николай Викторович: Драйверы роста. Как средней компании стать гигантом,21
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,Керк Рэнди: Метод Илона Маска,20
Бизнес-литература,Просто о бизнесе,Эффективность бизнеса,"Келлер Скотт, Прайс Колин: Больше, чем эффективность: Как самые успешные компании сохраняют лидерство на рынке",19
Бизнес-литература,Просто о бизнесе,Предпринимательство,Абрамс Ронда: Бизнес-план на 100%: Стратегия и тактика эффективного бизнеса,50
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Йенг Дори Джонс, Шульц Говард: Как чашка за чашкой строилась Starbucks",75
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Восканян Лилит Рафиковна: Бизнес ручной работы. Как научиться зарабатывать на том, что любишь и умеешь",111
Бизнес-литература,Просто о бизнесе,Предпринимательство,Любецки Дэниел: Соратники или наемники? Как построить процветающий бизнес на человеческих отношениях,116
Бизнес-литература,Просто о бизнесе,Предпринимательство,Семенчук Вячеслав Владимирович: Бизнес-хакинг. Ищи уязвимости конкурентов — взрывай рынок,137
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Сливотски Адриан, Вебер Карл, Вайз Ричард: Как расти, когда рынки не растут",74
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Ив Доз, Уилсон Кили: Nokia. Весь невероятный опыт компании в одной книге",57
Бизнес-литература,Просто о бизнесе,Предпринимательство,Белфорт Джордан: Метод волка с Уолл-стрит: Откровения лучшего продавца в мире,92
Бизнес-литература,Просто о бизнесе,Предпринимательство,Черняк Евгений Александрович: BIG MONEY. Принципы первых. Откровенно о бизнесе и жизни успешных предпринимателей,162
Бизнес-литература,Просто о бизнесе,Предпринимательство,Уитмор Дж.: Коучинг: Основные принципы и практики коучинга и лидерства (обложка),54
Бизнес-литература,Просто о бизнесе,Предпринимательство,О'Ши Ковадонга: Феномен ZARA,376
Бизнес-литература,Просто о бизнесе,Предпринимательство,Дрейпер Уильям III: Стартапы: профессиональные игры Кремниевой долины,124
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Геймифицируй это. Как стимулировать клиентов к покупке, а сотрудников к работе",45
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Шмидт Эрик, Розенберг Джонатан, Игл Алан: Trillion Dollar Coach. Принципы лидерства легендарного коуча Кремниевой долины Билла Кэмпбелла",99
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Тиль П.,Мастерс Б.: От нуля к единице: Как создать стартап, который изменит будущее",79
Бизнес-литература,Просто о бизнесе,Предпринимательство,Корнилов Глеб Леонидович: Переходи в Online. Практическое руководство от блогера-миллионника,75
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Ильяхов Максим, Тиньков О.: Бизнес без MBA. Под редакцией Максима Ильяхова",510
Бизнес-литература,Просто о бизнесе,Предпринимательство,Кусакин Илья Владимирович: Бизнес как система. Инструменты Black Star,168
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Азаренок Мария Александровна, Азизова Екатерина Сергеевна: Активируй свой персональный бренд! 100 кейсов для повышения эффективности бизнеса",579
Бизнес-литература,Просто о бизнесе,Российский бизнес,Как открыть салон красоты и не закрыть его через год,20
Бизнес-литература,Просто о бизнесе,Российский бизнес,Офицеров П.: Построение  региональной дистрибуции. Лучшие практики России.,13
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Построение бизнеса услуг: с ""нуля"" до доминирования на рынке",20
Бизнес-литература,Просто о бизнесе,Российский бизнес,Создание добавленной стоимости компании при сделках слияний и поглощений. Российский опыт,20
Бизнес-литература,Просто о бизнесе,Предпринимательство,Зварыгин Михаил Валерьевич: Турбокоманда. Как находить правильных людей и перестать все делать самому,54
Бизнес-литература,Просто о бизнесе,Российский бизнес,Фоменков С.: Порвать всех: Как построить большой бизнес в России,28
Бизнес-литература,Просто о бизнесе,Предпринимательство,Солодар Мария Александровна: неЖЕНСКОЕ ДЕЛО. Секретный опыт успешных бизнес-леди,136
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Хомич Михаил, Митин Юрий: Миллионы на бабочках, или истории самых интересных бизнес-моделей",53
Бизнес-литература,Просто о бизнесе,Российский бизнес,Саяпин Александр Валентинович: Что убьёт твой бизнес? 19 кризисов роста российских компаний и как их преодолеть,20
Бизнес-литература,Просто о бизнесе,Российский бизнес,Эффективное производство в России? Да!,11
Бизнес-литература,Просто о бизнесе,Российский бизнес,Основы фриланса: Плюсы и минусы работы на себя,22
Бизнес-литература,Просто о бизнесе,Российский бизнес,Франшиза на 360° : От покупки готовой до создания собственной,21
Бизнес-литература,Просто о бизнесе,Российский бизнес,Захарова Кира Игоревна: Менеджмент на скорость,20
Бизнес-литература,Просто о бизнесе,Российский бизнес,Как (не) остаться нищим навсегда,23
Бизнес-литература,Просто о бизнесе,Российский бизнес,100 вопросов о ТВ спонсорстве,23
Бизнес-литература,Просто о бизнесе,Российский бизнес,Бизнес по Тинькову,50
Бизнес-литература,Просто о бизнесе,Российский бизнес,Геращенко Виктор Владимирович: Россия и деньги. Что нас ждет?,23
Бизнес-литература,Просто о бизнесе,Российский бизнес,Молчанов Николай Викторович: Человек покупающий и продающий. Как законы эволюции влияют на психологию потребителя и при чем здесь Люк Скайуокер,75
Бизнес-литература,Просто о бизнесе,Российский бизнес,Саяпин Александр Валентинович: Что убьёт твой бизнес? 19 кризисов роста российских компаний и как их преодолеть,24
Бизнес-литература,Просто о бизнесе,Российский бизнес,Драган Майя: Бизнес на всю катушку. Как построить свое дело без стартового капитала,369
Бизнес-литература,Просто о бизнесе,Российский бизнес,Слободянюк Алексей Викторович: Князья и капуста. Эффективные бизнес-стратегии для менеджеров среднего звена,23
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Банчуков Дмитрий Андреевич: Денег нет, но вы пиарьтесь! Химия хайпа и 99 кейсов с вирусными приемами",94
Бизнес-литература,Просто о бизнесе,Истории успеха,"Эдершайм Э.: Марвин Бауэр, основатель McKinsey & Company: стратегия, лидерство, создание управленческого консалтинга (переплет)",22
Бизнес-литература,Просто о бизнесе,Истории успеха,"Глушков Александр: Эндорфины красоты: История о том, как можно добиться успеха, когда деньги - не главное",14
Бизнес-литература,Просто о бизнесе,Российский бизнес,"Ильяхов Максим, Тиньков О.: Бизнес без MBA. Под редакцией Максима Ильяхова",57
Бизнес-литература,Просто о бизнесе,Истории успеха,"Метц Кейд: Создатели искусственного гения: О бунтарях, которые наделили интеллектом Google, Facebook и весь мир",21
Бизнес-литература,Просто о бизнесе,Российский бизнес,Полонский Сергей Юрьевич: Взламывая стереотипы. Освобожденный,182
Бизнес-литература,Просто о бизнесе,Истории успеха,Лейтем Мартин: Истории торговца книгами,21
Бизнес-литература,Просто о бизнесе,Истории успеха,Лоу Д.: Майкл Джордан: Уроки чемпиона,10
Бизнес-литература,Просто о бизнесе,Истории успеха,"Солодар Мария Александровна, Мавричева Ана, Мовсисян Элеонора: неЖЕНСКОЕ ДЕЛО. Секретный опыт успешных бизнес-леди. Издание 2-е, исправленное и дополненное",50
Бизнес-литература,Просто о бизнесе,Истории успеха,Сегодня и завтра,23
Бизнес-литература,Просто о бизнесе,Истории успеха,"Дашкиев Михаил Юрьевич, Курьянов Павел, Шабутдинов Аяз Рифатович: БИЗНЕС-ХАКИ. Секретный опыт успешных предпринимателей России",50
Бизнес-литература,Просто о бизнесе,Истории успеха,"Юнгблут Рюдигер: Автомобильная династия. История семьи, создавшей империю BMW",136
Бизнес-литература,Просто о бизнесе,Истории успеха,Гатри Джулиан: Alpha Girls. Первые женщины в кремниевой долине,50
Бизнес-литература,Просто о бизнесе,Истории успеха,"Йонген Вейнанд: ONLIFE. Ритейл будущего. Что нужно сделать сегодня, чтобы быть лидером отрасли завтра",40
Бизнес-литература,Просто о бизнесе,Истории успеха,Управление через доверие: Как работает бирюзовая компания FAVI,24
Бизнес-литература,Просто о бизнесе,Истории успеха,Айгер Роберт: Умение предвидеть. Чему я научился за 15 лет на посту главы Walt Disney,22
Бизнес-литература,Просто о бизнесе,Истории успеха,"Фикссон Мария Дмитриевна: Выбирай любовь. Рискнуть всем ради мечты, создать свое дело и стать счастливой",45
Бизнес-литература,Просто о бизнесе,Истории успеха,"Банаян Алекс: Третья дверь. Секретный код успеха Билла Гейтса, Уоррена Баффетта, Стива Возняка, Леди Гаги и других богатейших людей мира",51
Бизнес-литература,Просто о бизнесе,Истории успеха,"Дизайн ИКЕА. Искусство создания продуктов, которые продаются сами",75
Бизнес-литература,Просто о бизнесе,Истории успеха,Смит Барбара: Адидас против Пумы. Как ссора двух братьев положила начало культовым брендам,75
Бизнес-литература,Просто о бизнесе,Истории успеха,"Цивилизация X5. От магазинов без товаров до магазинов без продавцов. Как ""Перекресток"" и ""Пятерочка"" изменили российскую торговлю",50
Бизнес-литература,Просто о бизнесе,Истории успеха,Эйтаро Коно: Как 1% усилий помогает сделать 99% работы,50
Бизнес-литература,Просто о бизнесе,Истории успеха,Форд Генри: Бизнес. Сегодня и завтра. С современными комментариями,50
Бизнес-литература,Просто о бизнесе,Предпринимательство,"Найт Фил: Продавец обуви. История компании Nike, рассказанная ее основателем",854
Бизнес-литература,Просто о бизнесе,Истории успеха,МакКорд Патти: Сильнейшие. Бизнес по правилам Netflix,75
Бизнес-литература,Просто о бизнесе,Истории успеха,Айзексон Уолтер: Invent and Wander. Избранные статьи создателя Amazon Джеффа Безоса,109
Бизнес-литература,Просто о бизнесе,Истории успеха,"Форд Генри: Генри Форд. Моя жизнь, мои достижения",247
Бизнес-литература,Просто о бизнесе,Истории успеха,"Виллинк Джоко, Бабин Лейф: Экстремальная воля. Принципы, спасающие жизнь, карьеру и брак",50
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Как сила позитивного мышления сделает вас богатыми,75
Бизнес-литература,Просто о бизнесе,Истории успеха,"Цукерман Грегори: Человек, который разгадал рынок. Как математик Джим Саймонс заработал на фондовом рынке 23 млрд долларов",111
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Как зарабатывать больше. 18 уроков обретения денег,101
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Хилл Наполеон: Наполеон Хилл. Слова, которые превратятся в деньги!",75
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Думай и будь успешным! 15 способов достижения всего,127
Бизнес-литература,Просто о бизнесе,Истории успеха,Галстян Араик Гамлетович: Миллион на цветах. Флористика как успешный бизнес,74
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Грант Адам: Оригиналы,75
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Дуарте Нэнси, Санчес Патти: Illuminate: как говорить вдохновляющие речи и создавать эффективные презентации, способные изменить историю",136
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Гувер Джон: Как работать на идиота? Руководство по выживанию,84
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Аткинсон Мэрилин : Жизнь в потоке: Коучинг,51
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Санд И.: Близко к сердцу: Как жить, если вы слишком чувствительный человек",75
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Котлер Стивен: Невозможное как стратегия. Как нейронаука помогает добиваться экстремальной продуктивности в бизнесе,50
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Роберт Саттон: Не работайте с мудаками. Покетбук нов.,22
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Сети Рамит: Я научу тебя быть богатым. 6-недельная программа по увеличению благосостояния,50
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Роберт Саттон: Не работайте с мудаками. И что делать, если они вокруг вас",373
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Сергей Шабанов, Алешина Алена : Эмоциональный интеллект. Российская практика",253
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Фридман Томас: Расслабься. Гениальное исследование о том, как вовремя взятая пауза в разы увеличивает ваши результаты",60
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Кабицкая Дарья: Школа Наглости. Как создать сильный личный бренд и влюбить в себя весь мир,525
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Феррари Бернард: Умение слушать. Ключевой навык менеджера.,50
Бизнес-литература,Просто о бизнесе,Психология бизнеса,"Свитцер Джанет, Кэнфилд Джек: Джек Кэнфилд. Правила успеха",288
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Перри Филиппа: Как не сойти с ума. Навести порядок в мыслях и чувствах,345
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Алмазный Огранщик: система управления бизнесом и жизнью,50
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Грант Роберт М.: Современный стратегический анализ. 7-е изд.,23
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"МакКормик Д.,Кац Д.: Энциклопедия торговых стратегий",12
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Власов Максим : RFID: 1 технология — 1000 решений. Практические примеры использования RFID в различных областях,26
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Управление компанией на рынке В2В,22
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Ковалев В А: Современный стратегический анализ: Учебник для вузов. Стандарт 3-го поколения,10
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"Гассман О.,Франкенбергер К.,Шик М.: Бизнес-модели: 55 лучших шаблонов",25
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Дэвид Майстер: Стратегия и толстый курильщик,21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Микаловиц М.: Метод тыквы,13
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Джоан Магретта: Ключевые идеи. Майкл Портер. Руководство по разработке стратегии,21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Бизнес-анализ в схемах: пошаговое руководство к действию,20
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"Ким В.Ч.; Моборн Р.: Стратегия голубого океана. Как найти или создать рынок, свободный от других игроков",21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Айкибизнес: как запустить и сохранить свой бизнес,21
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"Сазерленд Рори: Алхимия. Тайное искусство и тонкая наука магии в брендах, бизнесе и жизни",24
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"«Однажды» Лаборатория: Это ее дело. 10 историй о том, как делать бизнес красиво",20
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"Сенаторов Артем Алексеевич, Однатакайя Майя: TikTok Superstar. Как набрать миллион подписчиков",24
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Стратегия,25
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,"Янсити Марко, Лахани Карим: Цифровое преимущество. Искусство конкурировать в эпоху искусственного интеллекта",50
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Фюкс Р.: Зеленая революция: Экономический рост без ущерба для экологии,25
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Атланты бизнеса. Стратегии и инструменты достижения результата от лидеров и топ-менеджеров,54
Бизнес-литература,Просто о бизнесе,Бизнес-стратегии,Друтько Владислава Анатольевна: Управляй играя. Руководство командой с помощью шахматных стратегий,66
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Джозеф Мичелли: Правила Zappos,13
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Сеннет Ф.: Groupon: Бизнес-модель, которая изменила то, как мы покупаем",11
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Сэрра Эллисон: Кибербезопасность: правила игры. Как руководители и сотрудники влияют на культуру безопасности в компании,20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Ферр Натан, Даер Джефф, Кристенсен Клейтон M.: Создавая инновации. Креативные методы от Netflix, Amazon и Google",20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Смеркис Владимир: Силиконовые дали. Будущее, в котором мы живем сегодня",20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Искусственный интеллект, аналитика и новые технологии",20
Бизнес-литература,Просто о бизнесе,Психология бизнеса,Хилл Наполеон: Как сила позитивного мышления сделает вас богатыми,50
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Радин Эми: Это сработает! Как внедрять изменения при максимальном сопротивлении,20
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Реальная стратегия: Как планировать только то, что можно воплотить",30
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Гимадиев Равиль Халитович: Track&Trace. Будущее цепей поставок,21
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Цзэн М.,Цзэн М.: Alibaba и умный бизнес будущего: Как оцифровка бизнес-процессов изменила взгляд на стратегию",50
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Как делать деньги, не выходя из дома",22
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Янсити Марко, Лахани Карим: Оцифруйся или умри. Как трансформировать компанию с помощью искусственного интеллекта и обойти конкурентов",50
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,Устойчивы к будущему. 9 правил для людей в эпоху машин,23
Бизнес-литература,Просто о бизнесе,Инновации в бизнесе,"Юнг Артур, Ульрих Дэйв: Новая модель организации. Как построить более сильную и гибкую организацию по правилам ведущих компаний мира",21
Бизнес-литература,Просто о бизнесе,Креатив и идеи,Глей Джоселин : E-mail уборка. Как избавиться от фобий в голове и,25
Бизнес-литература,Просто о бизнесе,Креатив и идеи,Рис Э.: Бизнес с нуля: Метод Lean Startup для быстрого тестирования идей и выбора бизнес-модели (Серия 15 MustRead),18
Бизнес-литература,Просто о бизнесе,Креатив и идеи,Шредер-Солнье Дебора: Сила парадокса: лучшие бизнес-решения на стыке противоречивых идей,14
